dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc
bamboogle	qwen-qwen2-5-72b-instruct	ensemble_ays_idk_pairwise_incremental	80	22	17	4	0.7843137254901961	0.9523809523809523	0.8602150537634408	0.17073170731707318	0.8095238095238095	0.13821138211382114	0.7886178861788617
bamboogle	qwen-qwen2-5-72b-instruct	ensemble_ays_idk_pairwise_both	82	22	17	2	0.7884615384615384	0.9761904761904762	0.8723404255319148	0.15447154471544716	0.8947368421052632	0.13821138211382114	0.8048780487804879
bamboogle	qwen-qwen3-32b	ays	56	6	17	44	0.9032258064516129	0.56	0.691358024691358	0.4959349593495935	0.2786885245901639	0.13821138211382114	0.5934959349593496
bamboogle	qwen-qwen3-32b	idk	15	1	22	85	0.9375	0.15	0.25862068965517243	0.8699186991869918	0.205607476635514	0.17886178861788618	0.3008130081300813
bamboogle	qwen-qwen3-32b	pairwise_assistive	89	5	18	11	0.9468085106382979	0.89	0.9175257731958764	0.23577235772357724	0.6206896551724138	0.14634146341463414	0.8699186991869918
bamboogle	qwen-qwen3-32b	pairwise_incremental	89	6	17	11	0.9368421052631579	0.89	0.9128205128205129	0.22764227642276422	0.6071428571428571	0.13821138211382114	0.8617886178861789
bamboogle	qwen-qwen3-32b	pairwise_model_generated	92	11	12	8	0.8932038834951457	0.92	0.9064039408866995	0.16260162601626016	0.6	0.0975609756097561	0.8455284552845529
bamboogle	qwen-qwen3-32b	ensemble_pairwise_both	95	6	17	5	0.9405940594059405	0.95	0.9452736318407959	0.17886178861788618	0.7727272727272727	0.13821138211382114	0.9105691056910569
bamboogle	qwen-qwen3-32b	ensemble_ays_pairwise_assistive	90	10	13	10	0.9	0.9	0.9	0.18699186991869918	0.5652173913043478	0.10569105691056911	0.8373983739837398
bamboogle	qwen-qwen3-32b	ensemble_ays_pairwise_incremental	91	10	13	9	0.900990099009901	0.91	0.9054726368159204	0.17886178861788618	0.5909090909090909	0.10569105691056911	0.8455284552845529
bamboogle	qwen-qwen3-32b	ensemble_idk_pairwise_assistive	89	6	17	11	0.9368421052631579	0.89	0.9128205128205129	0.22764227642276422	0.6071428571428571	0.13821138211382114	0.8617886178861789
